愛;あい;love
どこか;どこか;somewhere, anywhere, in some respects
床の間;とこのま;alcove
床屋;とこや;*barber;
~ところ;~ところ;
ところが;ところが;however, while, even if
ところで;ところで;by the way, even if, no matter what
所々;ところどころ;here and there, some parts (of something)
登山;とざん;mountain climbing
都市;とし;town, city, municipal, urban
年月;としつき;months and years
図書;としょ;books
年寄;としより;old people, the aged 
閉じる;とじる;close (e.g. book, eyes, meeting, etc.), shut
都心;としん;heart of city
戸棚;とだな;cupboard, locker, closet, wardrobe
途端;とたん;just (now, at the moment, etc.)
土地;とち;plot of land, lot, soil
特急;とっきゅう;limited express (train, faster than an express)
とっくに;とっくに;long ago, already, a long time ago
突然;とつぜん;abruptly, suddenly, unexpectedly, all at once
どっと;どっと;suddenly
トップ;トップ;top
届く;とどく;reach
届ける;とどける;deliver, forward, send, report
整う;ととのう;be prepared, be in order, be put in order, be arranged
留まる;とどまる;remain, abide, stay (in the one place), come to a halt, be limited to, stop
止める,留める;とどめる;stop, cease, put an end to 
どなる;どなる;shout, yell
とにかく;とにかく;anyhow, at any rate, anyway, somehow or other, generally speaking, in any case
~殿;~どの;(polite) person, Mr. (mostly in addressing someone on an envelope)
飛ばす;とばす;skip over, omit
飛び込む;とびこむ;jump in, leap in, plunge into, dive
飛び出す;とびだす;jump out, rush out, fly out, appear suddenly, protrude, project
跳ぶ;とぶ;jump, fly, leap, spring, bound, hop
留まる;とまる;fasten, turn off, detain
泊まる;とまる;stay at (e.g. hotel)
ともかく;ともかく;anyhow, anyway, somehow or other, generally speaking, in any case
友達;ともだち;friend
共に;ともに;sharing with, participate in, both, alike, together, along with, with, including
虎;とら;tiger
ドライブ;ドライブ;drive, trip by car, driving
捕える;とらえる;seize, grasp, capture, arrest
トラック;トラック;truck, (running) track
ドラマ;ドラマ;drama
トランプ;トランプ;playing cards (from: trump)
取り上げる;とりあげる;take up, pick up, disqualify, confiscate, deprive 
取り入れる;とりいれる;harvest, take in, adopt
取り消す;とりけす;cancel
取り出す;とりだす;take out, produce, pick out
努力;どりょく;great effort, exertion, endeavour, effort
採る;とる;adopt (measure, proposal), pick (fruit), assume (attitude) 
捕る;とる;take, catch (fish), capture
トレーニング;トレーニング;training
ドレス;ドレス;dress
取れる;とれる;come off, be taken off, be removed, be obtained, leave, come out (e.g. photo), be interpreted
泥;どろ;mud
とん;とん;1000 kg
とんでもない;とんでもない;unexpected, offensive, outrageous, what a thing to say! no way!
どんどん;どんどん;rapidly, steadily
どんなに;どんなに;how, how much
トンネル;トンネル;tunnel
丼;どんぶり;porcelain bowl, bowl of rice with food on top
名;な;name, reputation
無い;ない;*there isn't, doesn't have;
~内;~ない;inside, within
内科;ないか;internist clinic, internal medicine
内線;ないせん;phone extension, indoor wiring, inner line
内容;ないよう;subject, contents, matter, substance, detail, import
ナイロン;ナイロン;nylon
なお;なお;still, yet, more
治す;なおす;cure, heal, fix, correct, repair
~直す;~なおす;re-, again, correct
仲;なか;relation, relationship
長~;なが~;long
永い;ながい;long, lengthy 
流す;ながす;drain, float, shed (blood, tears)
仲直り;なかなおり;reconciliation, make peace with
半ば;なかば;middle, half, semi, halfway, partly
長引く;ながびく;be prolonged, drag on
仲間;なかま;company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner
中身, 中味;なかみ;contents, interior, substance, filling
眺め;ながめ;scene, view, prospect, outlook
眺める;ながめる;view, gaze at
中指;なかゆび;middle finger
仲良し;なかよし;intimate friend, close friend
流れ;ながれ;stream, current
流れる;ながれる;stream, flow, be washed away, run (ink);
慰める;なぐさめる;comfort, console
亡くす;なくす;lose something or someone, get rid of
亡くなる;なくなる;die
なぐる;なぐる;strike, hit
無し;なし;without
為す;なす;accomplish, do
なぜなら;なぜなら;because
謎;なぞ;riddle, puzzle, enigma
謎謎, 謎々;なぞなぞ;riddle, puzzle, enigma 
傾らか;なだらか;gently-sloping, gentle, easy 
懐かしい;なつかしい;dear, desired, missed
納得;なっとく;consent, assent, understanding, agreement, comprehension, grasp
撫でる;なでる;brush gently, stroke
等;など;etc., and the like 
斜め;ななめ;obliqueness
何か;なにか;something
なにしろ;なにしろ;at any rate, anyhow, anyway, in any case
何々;なになに;such and such, What?, What is the matter?
何分;なにぶん;anyway, please
なにも;なにも;nothing
鍋;なべ;saucepan, pot
生;なま;raw, unprocessed
生意気;なまいき;impertinent, saucy, cheeky, conceit, audacious, brazen
怠ける;なまける;be idle, neglect
波;なみ;wave
並木;なみき;roadside tree, row of trees
涙;なみだ;tear
悩む;なやむ;be worried, be troubled
倣う;ならう;imitate, follow, emulate 
鳴らす;ならす;ring, sound, chime, beat
為る;なる;change, be of use, reach to 
成る;なる;*become;
生る;なる;bear fruit
馴れる;なれる;grow accustomed to, become domesticated, become tame, get too familiar with 
縄;なわ;rope, hemp
南極;なんきょく;south pole, Antarctic
~なんて;~なんて; 
何で;なんで;Why? What for?
何でも;なんでも;by all means, everything
何とか;なんとか;somehow, anyhow, one way or another
なんとなく;なんとなく;somehow or other, for some reason or another 
なんとも;なんとも;nothing (with negative verb), quite, not a bit 
ナンバー;ナンバー;number
南米;なんべい;South America
南北;なんぼく;south and north
似合う;にあう;suit, match, become, be like
煮える;にえる;boil, cook, be cooked
匂い;におい;odour, scent, smell, stench, fragrance, aroma, perfume
匂う;におう;be fragrant, smell, to stink, glow, be bright
逃がす;にがす;let loose, set free, let escape
苦手;にがて;poor (at), weak (in), dislike (of) 
賑やか;にぎやか;*bustling, busy;
握る;にぎる;grasp, seize, mould (sushi)
憎い;にくい;hateful, abominable, poor-looking, detestable, (with irony) lovely, lovable, wonderful
~難い;~にくい;*hard to ~
憎む;にくむ;hate, detest
憎らしい;にくらしい;odious, hateful
にこにこ;にこにこ;smile
濁る;にごる;become muddy or impure
虹;にじ;rainbow
日;にち;Japan-, Japanese-
日時;にちじ;date and time
日常;にちじょう;ordinary, regular, everyday, usual
日用品;にちようひん;daily necessities
日課;にっか;daily lesson, daily work, daily routine
日光;にっこう;sunlight
日中;にっちゅう;daytime, during the day, Sino-Japanese
にっこり;にっこり;smile sweetly, smile, grin 
日程;にってい;agenda
日本;にほん, にっぽん;Japan
鈍い;にぶい;dull (e.g. a knife), thickheaded, slow, stupid;
入社;にゅうしゃ;entry to a company
入場;にゅうじょう;entrance, admission, entering
女房;にょうぼう;wife
睨む;にらむ;glare at, scowl at, keep an eye on
煮る;にる;boil, cook
俄;にわか;sudden, abrupt, unexpected, improvised, offhand 
人気;にんき;popular, business conditions, popular feeling
人間;にんげん;human being, man, person
縫う;ぬう;sew
抜く;ぬく;extract, omit, surpass, draw out, unplug
抜ける;ぬける;come out, fall out, be omitted, be missing, escape
布;ぬの;cloth
濡らす;ぬらす;wet, soak, dip
温い;ぬるい;lukewarm, tepid
濡れる;ぬれる;*get wet;
ね;ね;isn't it, (inviting agreement), (emphasizing), (expressing belief)
根;ね;root
値;ね;value, price, cost, worth, merit, (computer programming) variable 
願い;ねがい;desire, wish, request, prayer, petition, application
願う;ねがう;to desire, wish, request, beg, hope, implore
猫;ねこ;cat
ねじ;ねじ;screw, helix, spiral 
捩る;ねじる;to screw, twist, distort, torture, wrest
鼠;ねずみ;mouse, rat, dark gray, slate color 
値段;ねだん;*price, cost;;
ネックレス;ネックレス;necklace
熱する;ねっする;to heat
熱帯;ねったい;tropics
熱中;ねっちゅう;enthusiasm, zeal, mania
寝坊;ねぼう;sleeping in late
寝間着, 寝巻;ねまき;sleep-wear, nightclothes, pyjamas, nightgown, nightdress
狙い;ねらい;aim
狙う;ねらう;to aim at
年間;ねんかん;year (interval of time)
年月;ねんげつ;months and years 
年中;ねんじゅう;whole year, always, everyday
~年生;~ねんせい;student in ... year
年代;ねんだい;age, era, period, date
年度;ねんど;year, fiscal year, school year, term
年齢;ねんれい;age, years 
野;の;field
能;のう;talent, gift, function, Noh play
農家;のうか;farmer, farm family
農業;のうぎょう;agriculture
農産物;のうさんぶつ;agricultural produce
農村;のうそん;agricultural community, farm village, rural;
濃度;のうど;concentration, brightness
農民;のうみん;farmers, peasants
農薬;のうやく;agricultural chemicals
能率;のうりつ;efficiency
能力;のうりょく;ability, faculty
ノー;ノー;no
軒;のき;eaves, house
のこぎり;のこぎり;saw
残す;のこす;leave (behind, over), bequeath, save, reserve
残らず;のこらず;all, entirely, completely, without exception
残り;のこり;remnant, residue, remaining, left-over;
乗せる, 載せる;のせる;place on (something), take on board, give a ride, let (one) take part, impose on, record, mention, load (luggage), publish
覗く;のぞく;peep in, look in, peek in, stick out
除く;のぞく;remove, exclude
望み;のぞみ;wish, desire, hope
望む;のぞむ;to desire, wish for, see, command (a view of) 
後;のち;afterwards, since then, in the future
ノック;ノック;knock
喉;のど;*throat;
伸ばす, 延ばす;のばす;lengthen, stretch, reach out, postpone, prolong, extend, grow (beard)
伸びる, 延びる;のびる;stretch, extend, lengthen, spread, make progress, grow (beard, body height), be postponed, be prolonged, be straightened, to be flattened, be smoothed, be exhausted
述べる;のべる;state, express, mention
上り;のぼり;ascent, climbing, up-train (i.e. going to Tokyo)
上る, 昇る;のぼる;rise, ascend, go up, climb, go to (the capital), be promoted, add up to, to come up (on the agenda)
糊;のり;paste, starch
乗換;のりかえ;transfer (trains, buses, etc.)
乗り越し;のりこし;riding past (one's station)
載る;のる;get on, ride in, board, mount, get up on, be taken in, share in, join, be found in (a dictionary), feel like doing, be mentioned in, be in harmony with, appear (in print), be recorded 
鈍い;のろい;dull (e.g. a knife), thickheaded, slow, stupid 
のろのろ;のろのろ;slowly, sluggishly
呑気;のんき;carefree, optimistic, careless, reckless, heedless, happy-go-lucky, easygoing
のんびり;のんびり;carefree, at leisure
場;ば;place, (physics) field  
はあ;はあ;gasp, pant
パーセント;パーセント;percent
灰;はい;ash
灰色;はいいろ;grey, ashen
バイオリン;バイオリン;violin
ハイキング;ハイキング;hiking
俳句;はいく;17-syllable poem
配達;はいたつ;delivery, distribution
売店;ばいてん;shop, stand
バイバイ;バイバイ;goodbye (bye-bye) 
売買;ばいばい;trade, buying and selling
パイプ;パイプ;pipe, tube, channels, official or otherwise
俳優;はいゆう;actor, actress, player, performer;
パイロット;パイロット;pilot
這う;はう;creep, crawl
生える;はえる;grow, spring up
墓;はか;gravesite, tomb
馬鹿;ばか;fool, idiot, trivial matter, folly 
剥す;はがす;tear off, peel off, rip off, strip off, skin, flay, disrobe, deprive of, detach, disconnect 
博士;はかせ;doctorate, PhD
ばからしい;ばからしい;absurd
秤;はかり;scale, weighing machine
計る, 量る, 測る;はかる;measure, weigh, survey, time
吐き気;はきけ;nausea, sickness in the stomach
はきはき;はきはき;lucidly
履く, 着く;はく;*wear, to put on (lower body);
掃く;はく;to brush, sweep, gather up
吐く;はく;breathe, tell (lies), vomit
~泊;~はく;counter for nights of a stay
拍手;はくしゅ;clapping hands, applause
莫大;ばくだい;enormous, vast
爆発;ばくはつ;explosion, detonation, eruption
博物館;はくぶつかん;museum
歯車;はぐるま;gear, cog-wheel
激しい;はげしい;violent, vehement, intense, furious, tempestuous
バケツ;バケツ;bucket, pail;
挟まる;はさまる;get between, be caught in
はさみ;はさみ;scissors
挟む;はさむ;interpose, hold between, insert 
破産;はさん;(personal) bankruptcy
端;はし;edge, tip, margin, point, end (e.g. of street) 
箸;はし;*chopsticks;
梯子;はしご;ladder, stairs 
始まり;はじまり;origin, beginning
始めに;はじめに;in the beginning, to begin with, first of all
はじめまして;はじめまして;How do you do? I am glad to meet you
~始める;~はじめる;begin to ~
場所;ばしょ;place, location
斜;はす;aslant, oblique, diagonal ;
パス;パス;path, pass (in games)
外す;はずす;unfasten, remove
パスポート;パスポート;passport
外れる;はずれる;be disconnected, get out of place, be off, be out (e.g. of gear)
旗;はた;flag
肌;はだ;skin, body, grain, texture, disposition;
パターン;パターン;pattern
裸;はだか;naked, nude, bare
肌着;はだぎ;underwear, lingerie, singlet, chemise
畑;はたけ;field
果して;はたして;as was expected, really 
二十;はたち;20 years old, 20th year 
働き;はたらき;work, workings, activity, ability, talent, function, labor, action, operation, movement, motion, conjugation, inflection, achievement
鉢;はち;bowl, pot, basin
~発;~はつ;occurrence, explosion
伐;ばつ;strike, attack, punish
罰;ばつ;punishment, penalty
発揮;はっき;exhibition, demonstration, utilization, display
バック;バック;back
バッグ;バッグ;bag, bug
発見;はっけん;discovery, detection, finding
発行;はっこう;issue (publications)
発車;はっしゃ;departure of a vehicle
発射;はっしゃ;firing, shooting, discharge, catapult
罰する;ばっする;punish, penalize
発想;はっそう;expression (music), conceptualization
発達;はったつ;development, growth
ばったり;ばったり;with a clash (thud), with a bang, flop, suddenly, abruptly, unexpectedly
発展;はってん;development, growth
発電;はつでん;generation (e.g. power)
発売;はつばい;sale
発表;はっぴょう;announcement, publication
発明;はつめい;invention
派手;はで;showy, loud, gay, flashy, gaudy
話合い;はなしあい;discussion, conference
話し合う;はなしあう;discuss, talk together
話し掛ける;はなしかける;accost a person, talk (to someone)
話中;はなしちゅう;while talking, the line is busy
話す;はなす;speak
離す;はなす;part, divide, separate
放す;はなす;separate, set free, turn loose
甚だしい;はなはだしい;extreme, excessive, terrible, intense, severe, serious, tremendous
花火;はなび;fireworks
花見;はなみ;cherry blossom viewing, flower viewing
花嫁;はなよめ;bride
離れる;はなれる;be separated from, leave, go away, be a long way off
放れる;はなれる;leave, get free, cut oneself off
羽;はね;feather, wing
羽根;はね;shuttlecock
ばね;ばね;spring (e.g. coil, leaf)
跳ねる;はねる;jump, leap, prance, spring up, bound, hop
幅;はば;width, breadth
母親;ははおや;mother
省く;はぶく;omit, eliminate, curtail, economize
破片;はへん;fragment, splinter, broken piece
歯磨き;はみがき;dentifrice, toothpaste 
はめる;はめる;get in, insert, put on, to make love
場面;ばめん;scene, setting (e.g. of novel)
早口;はやくち;fast-talking
林;はやし;woods, forest
流行る;はやる;flourish, thrive, be popular, come into fashion
腹;はら;abdomen, belly, stomach
原;はら;field, plain, prairie, tundra, moor, wilderness
払い込む;はらいこむ;deposit, pay in
払い戻す;はらいもどす;repay, pay back
バランス;バランス;balance
針;はり;needle, fish hook, pointer, hand (clock)
針金;はりがね;wire
張り切る;はりきる;be in high spirits, be full of vigor, be enthusiastic, be eager, stretch to breaking point
貼る;はる;to stick, paste
張る;はる;to stick, paste, put, affix, stretch, spread, strain, stick out, slap, be expensive, tighten
晴れ;はれ;clear weather
反~;はん~;anti-, opposite, antithesis, antagonism
範囲;はんい;extent, scope, sphere, range
反映;はんえい;reflection, influence
半径;はんけい;radius
判子;はんこ;seal (used for signature)
反抗;はんこう;opposition, resistance, insubordination, defiance, hostility, rebellion
犯罪;はんざい;crime
万歳;ばんざい;strolling comic dancer
ハンサム;ハンサム;handsome
判事;はんじ;judge, judiciary
反省;はんせい;reflection, reconsideration, introspection, meditation, contemplation
判断;はんだん;judgement, decision, adjudication, conclusion, decipherment, divination
番地;ばんち;house number, address
パンツ;パンツ;underpants, women's trousers
バンド;バンド;band
半島;はんとう;peninsula
ハンドバッグ;ハンドバッグ;handbag
ハンドル;ハンドル;handle, steering wheel
犯人;はんにん;offender, criminal
販売;はんばい;sale, selling, marketing
~番目;~ばんめ;cardinal number suffix
灯;ひ;light
非~;ひ~;non-, faulty
~費;~ひ;expense, cost, charge, fee
日当たり;ひあたり;exposure to the sun, sunny place
ピアノ;ピアノ;piano
ビール;ビール;beer
被害;ひがい;damage
日帰り;ひがえり;day trip
比較;ひかく;comparison
比較的;ひかくてき;comparatively, relatively
日陰;ひかげ;shadow
ぴかぴか;ぴかぴか;glitter, sparkle
光;ひかり;light
光る;ひかる;shine, glitter, be bright
引受る;ひきうける;undertake, take charge of, take, accept, be responsible for, guarantee
引返す;ひきかえす;repeat, send back, bring back, retrace one's steps
引算;ひきざん;subtraction
引出す;ひきだす;pull out, take out, draw out, withdraw
引き止める;ひきとめる;detain, restrain
卑怯;ひきょう;cowardice, meanness, unfairness
引分け;ひきわけ;tie game, draw
轢く;ひく;run somebody over (with vehicle), knock someone down
ピクニック;ピクニック;picnic
髭;ひげ;*moustache, beard;
悲劇;ひげき;tragedy
飛行;ひこう;flying, flight, aviation
膝;ひざ;knee, lap
陽射;ひざし;sunlight
肘;ひじ;elbow
非常;ひじょう;emergency, extraordinary, unusual
非常に;ひじょうに;very, extremely, exceedingly
美人;びじん;beautiful person (woman)
ピストル;ピストル;pistol
額;ひたい;forehead, brow
ビタミン;ビタミン;vitamin
引っ掛かる;ひっかかる;be caught in, be stuck in, be cheated
筆記;ひっき;(taking) notes, copying
引っ繰り返す;ひっくりかえす;turn over, overturn, knock over, upset, turn inside out
引っ繰り返る;ひっくりかえる;be overturned, be upset, topple over, be reversed 
日付;ひづけ;date
引越し;ひっこし;moving (dwelling, office, etc.), changing residence 
引っ込む;ひっこむ;draw back, sink, cave in
必死;ひっし;inevitable death, desperation, frantic, inevitable result
筆者;ひっしゃ;writer, author
必需品;ひつじゅひん;necessities, necessary article, requisite, essential
ぴったり;ぴったり;exactly, tightly
引っ張る;ひっぱる;pull, draw, stretch, drag
否定;ひてい;negation, denial, repudiation
ビデオ;ビデオ;video
一~;ひと~;one
一言;ひとこと;single word
人込み;ひとごみ;crowd of people
人差指;ひとさしゆび;index finger
等しい;ひとしい;equal, similar, like, equivalent 
一通り;ひととおり;ordinary, usual, in general, briefly
人通り;ひとどおり;pedestrian traffic
ひとまず;ひとまず;for the present, once, in outline 
瞳;ひとみ;eye, pupil (of eye)
一休み;ひとやすみ;rest
独り;ひとり;alone, unmarried
独り言;ひとりごと;soliloquy, monologue, speaking to oneself
ひとりでに;ひとりでに;by itself, automatically, naturally
一人一人;ひとりひとり;one by one, each, one at a time 
ビニール;ビニール;vinyl
皮肉;ひにく;cynicism, sarcasm, irony, satire
日日;ひにち;every day, daily, day after day
捻る;ひねる;turn (a switch) on or off, twist, puzzle over
日の入り;ひのいり;sunset
日の出;ひので;sunrise
批判;ひはん;criticism, judgement, comment
響き;ひびき;echo, sound, reverberation, noise 
響く;ひびく;to sound, echo, reverberate
批評;ひひょう;criticism, review, commentary
皮膚;ひふ;skin
秘密;ひみつ;secret, secrecy
微妙;びみょう;delicate, subtle
紐;ひも;string, cord
冷やす;ひやす;cool, refrigerate
ひゃっかじてん;ひゃっかじてん;encyclopedia 
費用;ひよう;cost, expense
表;ひょう;table (in a document), chart, list
美容;びよう;beauty of figure or form
秒;びょう;second (time)
~病;~びょう;illness, sickness, disease
評価;ひょうか;valuation, estimation, assessment, evaluation
表現;ひょうげん;expression, presentation, (mathematics) representation
表紙;ひょうし;front cover, binding
標識;ひょうしき;sign, mark
標準;ひょうじゅん;standard, level
表情;ひょうじょう;facial expression
平等;びょうどう;equality, impartiality, evenness
評判;ひょうばん;fame, reputation, popularity, arrant
標本;ひょうほん;example, specimen
表面;ひょうめん;surface, outside, face, appearance
評論;ひょうろん;criticism, critique
ビルディング;ビルディング;building
昼寝;ひるね;nap (at home), siesta
広がる;ひろがる;spread (out), extend, stretch, reach to, get around 
広げる;ひろげる;spread, extend, expand, enlarge, widen, broaden, unfold, open, unroll 
広さ;ひろさ;extent
広場;ひろば;plaza
広々;ひろびろ;extensive, spacious 
広める;ひろめる;broaden, propagate
品;ひん;article, item
瓶;びん;bottle, vase, vial
便;びん;mail, post, flight (e.g. airline flight), service, opportunity, chance, letter
ピン;ピン;pin
ピンク;ピンク;pink
便箋;びんせん;writing paper, stationery
瓶詰;びんづめ;bottling, bottled 
不;ふ, ぶ;un-, non- 
無;ぶ;
分;ぶ;rate, part, percentage, one percent, thickness, odds, chance of winning, one-hundredth of a shaku, one-quarter of a ryou
~部;~ぶ;counter for copies of a newspaper or magazine, department, part, category
ファスナー;ファスナー;fastener, zipper
不安;ふあん;anxiety, uneasiness, insecurity, suspense
~風;~ふう;breeze, wind, custom, style
風景;ふうけい;scenery
風船;ふうせん;balloon
夫婦;ふうふ;married couple, spouses, husband and wife, couple, pair 
不運;ふうん;unlucky, misfortune, bad luck, fate
笛;ふえ;flute
殖える;ふえる;increase, multiply
不可;ふか;wrong, bad, improper, unjustifiable, inadvisable
深まる;ふかまる;deepen, heighten, intensify
武器;ぶき;weapon, arms, ordinance
不規則;ふきそく;irregularity, unsteadiness, disorderly
普及;ふきゅう;diffusion, spread
付近;ふきん;neighbourhood, vicinity, environs
拭く;ふく;wipe, dry
副~;ふく~;second, secondary, substitute, vice-, sub-
副詞;ふくし;adverb
複写;ふくしゃ;copy, duplicate
複数;ふくすう;plural, multiple
服装;ふくそう;garments
含む;ふくむ;hold in the mouth, bear in mind, understand, cherish, harbor, contain, comprise, have, hold, include, embrace, be full of
含める;ふくめる;include, instruct, make one understand, put in one's mouth
膨らます;ふくらます;swell, expand, inflate, bulge
膨らむ;ふくらむ;expand, get big, become inflated
袋;ふくろ;bag, sack
不潔;ふけつ;unclean, dirty, filthy, impure
更ける;ふける;get late, advance, wear on,
不幸;ふこう;unhappiness, sorrow, misfortune, disaster, accident, death
符号;ふごう;sign, mark, symbol
夫妻;ふさい;man and wife, married couple
塞がる;ふさがる;be plugged up, be shut up 
塞ぐ;ふさぐ;stop up, close up, block (up), occupy, fill up, take up, stand in another's way, plug up, shut up 
ふざける;ふざける;romp, gambol, frolic, joke, make fun of, flirt
無沙汰;ぶさた;neglecting to stay in contact
節;ふし;node, section, occasion, time
武士;ぶし;warrior, samurai 
無事;ぶじ;safety, peace, quietness
不思議;ふしぎ;wonder, miracle, strange, mystery, marvel, curiosity
部首;ぶしゅ;radical of a kanji
不自由;ふじゆう;discomfort, disability, inconvenience, destitution
夫人;ふじん;wife, Mrs., madam
婦人;ふじん;woman, female
襖;ふすま;sliding screen
不正;ふせい;injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality
防ぐ;ふせぐ;defend (against), protect, prevent
不足;ふそく;insufficiency, shortage, deficiency, lack
附属;ふぞく;attached, belonging, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary 
蓋;ふた;cover, lid, cap
舞台;ぶたい;stage (theatre), scene or setting (e.g. of novel, play, etc.)
双子;ふたご;twins, a twin
再び;ふたたび;again, once more, a second time
普段;ふだん;usually, habitually, ordinarily, always
縁;ふち;(surrounding) edge
打つ;ぶつ;hit, strike
~物;~ぶつ;animal, thing, article, object
不通;ふつう;suspension, interruption, stoppage, tie-up, cessation
物価;ぶっか;prices of commodities, prices (in general), cost-of-living
ぶつかる;ぶつかる;strike, collide with
ぶつける;ぶつける;knock, run into, nail on, strike hard, hit and attack 
物質;ぶっしつ;material, substance
物騒;ぶっそう;dangerous, disturbed, insecure
ぶつぶつ;ぶつぶつ;grumbling, complaining in a small voice
物理;ぶつり;physics
筆;ふで;writing brush
ふと;ふと;suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally
船便;ふなびん;surface mail (ship)
部品;ぶひん;parts, accessories
吹雪;ふぶき;snow storm
部分;ぶぶん;portion, section, part
不平;ふへい;complaint, discontent, dissatisfaction
父母;ふぼ;father and mother, parents
不満;ふまん;dissatisfaction, displeasure, discontent, complaints, unhappiness
踏切;ふみきり;railway crossing, level crossing, starting line, scratch, crossover
麓;ふもと;foot, the bottom, base (of a mountain)
増やす, 殖やす;ふやす;increase, add to, augment 
フライパン;フライパン;frying pan
ブラウス;ブラウス;blouse
ぶらさげる;ぶらさげる;hang, suspend, dangle, swing
ブラシ;ブラシ;brush
プラス;プラス;plus
プラスチック;プラスチック;plastic
プラットホーム;プラットホーム;platform
プラン;プラン;plan
不利;ふり;disadvantage, handicap, unfavorable, drawback
~振り;~ぶり;style, manner
フリー;フリー;free
振り仮名;ふりがな;hiragana over kanji, pronunciation key
振り向く;ふりむく;turn one's face, turn around
プリント;プリント;print, handout
振る;ふる;wave, shake, swing, sprinkle, cast (actor), allocate (work) 
古~;ふる~;old
震える;ふるえる;shiver, shake, quake
故郷, 古里;ふるさと;home town, birthplace, old village, historic village, native place, one's old home 
振舞う;ふるまう;behave, conduct oneself, entertain
ブレーキ;ブレーキ;break
触れる;ふれる;touch, be touched, touch on a subject, feel, violate (law, copyright, etc.), perceive, be moved (emotionally)
風呂;ふろ;bath
プロ;プロ;pro (professional)
ブローチ;ブローチ;brooch
プログラム;プログラム;program
風呂敷;ふろしき;wrapping cloth, cloth wrapper
ふわふわ;ふわふわ;light, airy
分;ぶん;part, segment, share, ration, rate, degree, one's lot, one's status, relation, duty, kind, lot, in proportion to, just as much as
文;ぶん;sentence
雰囲気;ふんいき;atmosphere (e.g. musical), mood, ambience
噴火;ふんか;eruption
分解;ぶんかい;analysis, disassembly
文芸;ぶんげい;literature, art and literature
文献;ぶんけん;literature, books (reference) 
文章;ぶんしょう;sentence, article
噴水;ふんすい;water fountain
分数;ぶんすう;(mathematics) fraction
分析;ぶんせき;analysis
文体;ぶんたい;literary style
分布;ぶんぷ;distribution
文房具;ぶんぼうぐ;stationery
文脈;ぶんみゃく;context
文明;ぶんめい;civilization, culture
分野;ぶんや;field, sphere, realm, division, branch
分量;ぶんりょう;amount, quantity
分類;ぶんるい;classification
塀;へい;wall, fence
閉会;へいかい;closure
平気;へいき;coolness, calmness, composure, unconcern
平均;へいきん;equilibrium, balance, average, mean 
ページ;ページ;page;
並行;へいこう;(going) side by side, concurrent, abreast, at the same time, occurring together, parallel, parallelism 
平日;へいじつ;weekday, ordinary days
兵隊;へいたい;soldier, sailor
平凡;へいぼん;common, commonplace, ordinary, mediocre
平野;へいや;plain, open field
平和;へいわ;peace, harmony
凹む;へこむ;be dented, be indented, yield to, to give, sink, collapse, cave in, be snubbed
へそ;へそ;navel, belly button 
隔てる;へだてる;be shut out, separate, isolate
別;べつ;distinction, difference, different, another, particular, separate, extra, exception;
別荘;べっそう;holiday house, villa
別に;べつに;(not) particularly. nothing
別々;べつべつ;separately, individually
ベテラン;ベテラン;veteran
減らす;へらす;abate, decrease, diminish, shorten
ヘリコプター;ヘリコプター;helicopter 
減る;へる;decrease (in size or number), diminish, abate
ベルト;ベルト;belt (for Western clothes)
~編;~へん;compilation, editing, completed poem, book, part of book
~遍;~へん;time, occurrence
べん;べん;convenience, facility
変化;へんか;change, variation, alteration, mutation, transition, transformation, variety, diversity, inflection, declension, conjugation
ペンキ;ペンキ;paint (Dutch: pek) 
変更;へんこう;change, modification, alteration
編集;へんしゅう;editing, compilation, editorial (e.g. committee)
便所;べんじょ;toilet, lavatory, rest room, latrine
ペンチ;ペンチ;pliers (from: pinchers)
ベンチ;ベンチ;bench
弁当;べんとう;lunch box
便利;べんり;convenient, handy, useful
~歩;~ほ;step, stride
~ぽい;~ぽい;
方;ほう;*side;
法;ほう;law;
棒;ぼう;pole, rod, stick
防~;ぼう~;defense
望遠鏡;ぼうえんきょう;telescope
方角;ほうがく;direction, way, compass point
箒;ほうき;broom
方言;ほうげん;dialect
冒険;ぼうけん;risk, venture, adventure
方向;ほうこう;direction, course, way
報告;ほうこく;report, information
坊さん;ぼうさん;Buddhist priest, monk
防止;ぼうし;prevention, check
方針;ほうしん;objective, plan, policy
宝石;ほうせき;gem, jewel
包装;ほうそう;packing, wrapping
法則;ほうそく;law, rule
包帯;ほうたい;bandage, dressing 
膨大;ぼうだい;huge, bulky, enormous, extensive, swelling, expansion
庖丁;ほうちょう;kitchen knife, carving knife 
方程式;ほうていしき;equation
防犯;ぼうはん;prevention of crime
豊富;ほうふ;abundance, wealth, plenty, bounty
方法;ほうほう;method, process, manner, way, means, technique
方々;ほうぼう;persons, this and that, here and there, everywhere, any way, all sides, all people
方面;ほうめん;direction, district, field (of study) 
訪問;ほうもん;call, visit
坊や;ぼうや;boy
放る;ほうる;let go, abandon, leave undone, throw, toss, fling
吠える;ほえる;bark, bay, howl, bellow, roar, cry
ボーイ;ボーイ;boy
ボート;ボート;rowboat
ボーナス;ボーナス;bonus
ホーム;ホーム;platform, home
ボール;ボール;ball, bowl
他;ほか;other (especially places and things)
